city	color
Toronto	rgb(99, 110, 250)
San Francisco	rgb(239, 85, 59)
London	rgb(0, 204, 150)
New Delhi	rgb(171, 99, 250)
Bangkok	rgb(255, 161, 90)
Vancouver	rgb(25, 211, 243)
Brussels	rgb(255, 102, 146)
Bogota	rgb(182, 232, 128)
Warsaw	rgb(255, 151, 255)
Zurich	rgb(254, 203, 82)
Dublin	rgb(99, 110, 250)
Mexico City	rgb(239, 85, 59)
Beijing	rgb(0, 204, 150)
Manila	rgb(171, 99, 250)
Tokyo	rgb(255, 161, 90)
Moscow	rgb(25, 211, 243)
Chicago	rgb(255, 102, 146)
Madrid	rgb(182, 232, 128)
Bucharest	rgb(255, 151, 255)
Boston	rgb(254, 203, 82)
Montreal	rgb(99, 110, 250)
Istanbul	rgb(239, 85, 59)
Tianjin	rgb(0, 204, 150)
Luxembourg	rgb(171, 99, 250)
Stockholm	rgb(255, 161, 90)
Milan	rgb(25, 211, 243)
Auckland	rgb(255, 102, 146)
Frankfurt	rgb(182, 232, 128)
Dubai	rgb(255, 151, 255)
Melbourne	rgb(254, 203, 82)
Miami	rgb(99, 110, 250)
Tel Aviv	rgb(239, 85, 59)
Athens	rgb(0, 204, 150)
Munich	rgb(171, 99, 250)
Brisbane	rgb(255, 161, 90)
Lima	rgb(25, 211, 243)
New York	rgb(255, 102, 146)
Chengdu	rgb(182, 232, 128)
Oslo	rgb(255, 151, 255)
Shanghai	rgb(254, 203, 82)
Budapest	rgb(99, 110, 250)
Santiago	rgb(239, 85, 59)
Jakarta	rgb(0, 204, 150)
Hong Kong	rgb(171, 99, 250)
Bangalore	rgb(255, 161, 90)
Seoul	rgb(25, 211, 243)
Geneva	rgb(255, 102, 146)
Denver	rgb(182, 232, 128)
Guangzhou	rgb(255, 151, 255)
Sao Paulo	rgb(254, 203, 82)
Sydney	rgb(99, 110, 250)
Hamburg	rgb(239, 85, 59)
Houston	rgb(0, 204, 150)
Lisbon	rgb(171, 99, 250)
Berlin	rgb(255, 161, 90)
Buenos Aires	rgb(25, 211, 243)
Copenhagen	rgb(255, 102, 146)
Los Angeles	rgb(182, 232, 128)
Taipei	rgb(255, 151, 255)
Shenzhen	rgb(254, 203, 82)
Mumbai	rgb(99, 110, 250)
Paris	rgb(239, 85, 59)
Washington	rgb(0, 204, 150)
Nairobi	rgb(171, 99, 250)
Atlanta	rgb(255, 161, 90)
Singapore	rgb(25, 211, 243)
Rome	rgb(255, 102, 146)
Kuala Lumpur	rgb(182, 232, 128)
Perth	rgb(255, 151, 255)
Amsterdam	rgb(254, 203, 82)
Dallas	rgb(99, 110, 250)
Vienna	rgb(239, 85, 59)
Johannesburg	rgb(0, 204, 150)
Barcelona	rgb(171, 99, 250)
Prague	rgb(255, 161, 90)
