city	color
Amsterdam	rgb(47,110,247)
Athens	rgb(53,23,173)
Atlanta	rgb(133,87,245)
Auckland	rgb(183,46,243)
Bangalore	rgb(7,122,204)
Bangkok	rgb(45,48,134)
Barcelona	rgb(116,106,202)
Beijing	rgb(96,10,132)
Berlin	rgb(165,83,201)
Bogota	rgb(205,37,199)
Boston	rgb(77,199,232)
Brisbane	rgb(28,60,97)
Brussels	rgb(93,120,161)
Bucharest	rgb(160,186,231)
Budapest	rgb(80,44,95)
Buenos Aires	rgb(144,104,160)
Chengdu	rgb(213,170,229)
Chicago	rgb(114,0,94)
Copenhagen	rgb(184,80,158)
Dallas	rgb(219,30,157)
Denver	rgb(57,246,224)
Dubai	rgb(59,131,120)
Dublin	rgb(126,198,186)
Frankfurt	rgb(162,235,223)
Geneva	rgb(76,230,102)
Guangzhou	rgb(59,59,59)
Hamburg	rgb(119,119,119)
Hong Kong	rgb(185,185,185)
Houston	rgb(204,74,209)
Istanbul	rgb(221,221,221)
Jakarta	rgb(94,43,58)
Johannesburg	rgb(160,103,118)
Kuala Lumpur	rgb(230,168,183)
Lima	rgb(150,197,140)
Lisbon	rgb(186,234,175)
London	rgb(68,59,20)
Los Angeles	rgb(132,118,76)
Luxembourg	rgb(200,184,139)
Madrid	rgb(237,220,174)
Manila	rgb(99,43,20)
Melbourne	rgb(168,102,75)
Mexico City	rgb(241,167,138)
Miami	rgb(201,78,75)
Milan	rgb(232,26,75)
Montreal	rgb(13,138,25)
Moscow	rgb(102,207,92)
Mumbai	rgb(140,245,126)
Munich	rgb(95,130,24)
Nairobi	rgb(163,197,91)
New Delhi	rgb(200,234,125)
New York	rgb(137,118,24)
Oslo	rgb(209,184,90)
Paris	rgb(247,220,124)
Perth	rgb(172,102,25)
Prague	rgb(248,167,89)
Rome	rgb(204,79,27)
San Francisco	rgb(234,28,29)
Sao Paulo	rgb(62,254,67)
Santiago	rgb(115,207,15)
Sydney	rgb(154,245,66)
Seoul	rgb(170,197,15)
Shanghai	rgb(208,233,66)
Shenzhen	rgb(213,184,17)
Singapore	rgb(253,220,65)
Stockholm	rgb(251,168,20)
Taipei	rgb(145,212,120)
Tel Aviv	rgb(171,145,135)
Tianjin	rgb(145,120,84)
Tokyo	rgb(195,79,116)
Toronto	rgb(228,27,115)
Vancouver	rgb(74,208,142)
Vienna	rgb(115,245,177)
Warsaw	rgb(23,68,20)
Washington	rgb(85,130,77)
Zurich	rgb(120,145,135)


