city,h,s,l,a
Amsterdam,221.1,92.59259259259261,57.647058823529406,1
Athens,252.00000000000003,76.53061224489795,38.43137254901961,1
Atlanta,257.46835443037975,88.76404494382024,65.09803921568627,1
Auckland,281.72588832487315,89.14027149321265,56.666666666666664,1
Bangalore,204.97461928934007,93.36492890995261,41.372549019607845,1
Bangkok,237.97752808988767,49.72067039106145,35.09803921568628,1
Barcelona,246.25,47.52475247524751,60.3921568627451,1
Beijing,282.2950819672131,85.91549295774648,27.84313725490196,1
Berlin,281.6949152542373,52.21238938053096,55.68627450980392,1
Bogota,302.14285714285717,69.42148760330578,47.450980392156865,1
Boston,192.7741935483871,77.11442786069652,60.588235294117645,1
Brisbane,212.17391304347825,55.199999999999996,24.509803921568626,1
Brussels,216.17647058823528,26.77165354330708,49.80392156862745,1
Bucharest,218.02816901408454,59.663865546218474,76.66666666666666,1
Budapest,282.3529411764706,36.69064748201439,27.254901960784316,1
Buenos Aires,282.85714285714283,22.76422764227642,51.764705882352935,1
Chengdu,283.728813559322,53.153153153153156,78.23529411764706,1
Chicago,310.5263157894737,100.0,22.35294117647059,1
Copenhagen,315.0,42.27642276422765,51.764705882352935,1
Dallas,319.6825396825397,75.90361445783131,48.8235294117647,1
Denver,173.015873015873,91.30434782608697,59.411764705882355,1
Dubai,170.83333333333334,37.89473684210525,37.254901960784316,1
Dublin,169.99999999999997,38.70967741935483,63.52941176470588,1
Frankfurt,170.1369863013699,64.60176991150439,77.84313725490195,1
Geneva,130.12987012987014,75.49019607843138,60.0,1
Guangzhou,0.0,0.0,23.137254901960784,1
Hamburg,0.0,0.0,46.666666666666664,1
Hong Kong,0.0,0.0,72.54901960784314,1
Houston,297.77777777777777,59.471365638766514,55.490196078431374,1
Istanbul,0.0,0.0,86.66666666666667,1
Jakarta,342.35294117647055,37.226277372262764,26.86274509803922,1
Johannesburg,344.2105263157895,23.076923076923077,51.56862745098039,1
Kuala Lumpur,345.48387096774195,55.35714285714285,78.03921568627452,1
Lima,109.47368421052633,32.947976878612714,66.07843137254903,1
Lisbon,108.8135593220339,58.41584158415838,80.19607843137256,1
London,48.75000000000001,54.54545454545454,17.254901960784313,1
Los Angeles,45.0,26.923076923076927,40.78431372549019,1
Luxembourg,44.26229508196722,35.67251461988304,66.47058823529412,1
Madrid,43.80952380952381,63.63636363636365,80.58823529411765,1
Manila,17.468354430379748,66.38655462184873,23.333333333333332,1
Melbourne,17.419354838709683,38.2716049382716,47.647058823529406,1
Mexico City,16.89320388349515,78.62595419847327,74.31372549019608,1
Miami,1.4285714285714302,53.84615384615385,54.11764705882353,1
Milan,345.7281553398058,81.74603174603173,50.588235294117645,1
Montreal,125.76,82.78145695364239,29.607843137254903,1
Moscow,114.78260869565219,54.50236966824645,58.62745098039216,1
Mumbai,112.94117647058823,85.61151079136692,72.74509803921569,1
Munich,79.81132075471697,68.83116883116884,30.19607843137255,1
Nairobi,79.24528301886794,47.74774774774775,56.470588235294116,1
New Delhi,78.71559633027522,72.18543046357614,70.3921568627451,1
New York,49.91150442477876,70.1863354037267,31.56862745098039,1
Oslo,47.39495798319328,56.398104265402836,58.62745098039216,1
Paris,46.82926829268293,88.48920863309355,72.74509803921568,1
Perth,31.42857142857143,74.61928934010153,38.62745098039216,1
Prague,29.433962264150942,91.90751445086707,66.07843137254902,1
Rome,17.6271186440678,76.62337662337664,45.294117647058826,1
San Francisco,359.7087378640777,83.06451612903226,51.37254901960784,1
Sao Paulo,121.5625,98.96907216494846,61.96078431372549,1
Santiago,88.75,86.48648648648648,43.529411764705884,1
Sydney,90.5027932960894,89.9497487437186,60.98039215686275,1
Seoul,68.90109890109889,85.84905660377359,41.568627450980394,1
Shanghai,68.98203592814373,79.1469194312796,58.62745098039216,1
Shenzhen,51.12244897959183,85.21739130434783,45.09803921568628,1
Singapore,49.468085106382986,97.91666666666667,62.35294117647059,1
Stockholm,38.44155844155845,96.65271966527196,53.13725490196079,1
Taipei,103.69565217391306,51.685393258426984,65.09803921568627,1
Tel Aviv,16.66666666666666,17.647058823529402,60.0,1
Tianjin,35.40983606557377,26.637554585152838,44.90196078431372,1
Tokyo,340.86206896551727,49.15254237288135,53.72549019607843,1
Toronto,333.7313432835821,78.82352941176471,50.0,1
Vancouver,150.44776119402985,58.7719298245614,55.294117647058826,1
Vienna,148.6153846153846,86.66666666666667,70.58823529411765,1
Warsaw,116.25,54.54545454545454,17.254901960784313,1
Washington,110.94339622641509,25.603864734299513,40.588235294117645,1
Zurich,156.0,10.20408163265306,51.96078431372548,1
