cul_group,h,s,l,a
Anglo,211.01123595505618,36.326530612244895,48.03921568627451,1
Southern_Asia,29.696969696969695,88.39285714285712,56.07843137254902,1
Latin_Europe,359.1304347826087,69.69696969696969,61.1764705882353,1
Latin_America,175.3846153846154,31.100478468899524,59.01960784313726,1
Eastern_Europe,112.68292682926828,34.166666666666664,47.05882352941176,1
Germanic_Europe,46.82926829268292,82.0,60.7843137254902,1
Confucian_Asia,315.8490566037736,24.88262910798122,58.235294117647065,1
Arab,353.87755102040813,100.0,80.7843137254902,1
Nordic_Europe,21.639344262295072,24.302788844621517,49.21568627450981,1
Sub_Sahara_Africa,20.000000000000036,9.803921568627453,70.0,1
