,Amsterdam,Athens,Atlanta,Auckland,Bangalore,Bangkok,Barcelona,Beijing,Berlin,Bogota,Boston,Brisbane,Brussels,Bucharest,Budapest,Buenos Aires,Chengdu,Chicago,Copenhagen,Dallas,Denver,Dubai,Dublin,Frankfurt,Geneva,Guangzhou,Hamburg,Hong Kong,Houston,Istanbul,Jakarta,Johannesburg,Kuala Lumpur,Lima,Lisbon,London,Los Angeles,Luxembourg,Madrid,Manila,Melbourne,Mexico City,Miami,Milan,Montreal,Moscow,Mumbai,Munich,Nairobi,New Delhi,New York,Oslo,Paris,Perth,Prague,Rome,San Francisco,Sao Paulo,Santiago,Sydney,Seoul,Shanghai,Shenzhen,Singapore,Stockholm,Taipei,Tel Aviv,Tianjin,Tokyo,Toronto,Vancouver,Vienna,Warsaw,Washington,Zurich
Amsterdam,1.0,0.0,0.005,0.02,0.0,0.0,0.005,0.0,0.005,0.005,0.01,0.005,0.055,0.005,0.01,0.005,0.0,0.015,0.03,0.005,0.0,0.0,0.025,0.01,0.01,0.0,0.05,0.005,0.005,0.01,0.0,0.005,0.0,0.0,0.005,0.035,0.005,0.01,0.01,0.0,0.005,0.0,0.005,0.01,0.025,0.02,0.0,0.01,0.0,0.0,0.025,0.02,0.005,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.005,0.0,0.0,0.01,0.015,0.005,0.0,0.0,0.035,0.01,0.02,0.01,0.005,0.015,0.015
Athens,0.0,1.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.015,0.005,0.02,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.045,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.005,0.025,0.015,0.0,0.005,0.005,0.0,0.01,0.0,0.0,0.005,0.005,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.005,0.015,0.01,0.01,0.005,0.005,0.02,0.0,0.0,0.01,0.005,0.0,0.065,0.0,0.02,0.0,0.0,0.005,0.005,0.0,0.02
Atlanta,0.005,0.0,1.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.045,0.015,0.0,0.0,0.0,0.015,0.0,0.02,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.05,0.0,0.0,0.015,0.005,0.0,0.0,0.005,0.01,0.0,0.005,0.0,0.01,0.0,0.015,0.0,0.015,0.005,0.0,0.0,0.0,0.0,0.015,0.005,0.0,0.015,0.0,0.0,0.005,0.005,0.005,0.01,0.0,0.0,0.0,0.005,0.005,0.0,0.005,0.0,0.02,0.02,0.01,0.0,0.0,0.025,0.0
Auckland,0.02,0.0,0.005,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.015,0.085,0.01,0.005,0.005,0.0,0.0,0.0,0.02,0.005,0.015,0.0,0.03,0.005,0.0,0.0,0.005,0.005,0.02,0.015,0.005,0.015,0.01,0.0,0.01,0.0,0.025,0.015,0.005,0.0,0.045,0.0,0.02,0.005,0.015,0.01,0.0,0.005,0.0,0.0,0.005,0.03,0.0,0.04,0.005,0.0,0.03,0.005,0.005,0.03,0.005,0.0,0.0,0.015,0.01,0.005,0.0,0.0,0.025,0.01,0.045,0.01,0.005,0.005,0.01
Bangalore,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkok,0.0,0.01,0.0,0.01,0.0,1.0,0.005,0.0,0.0,0.005,0.0,0.005,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.005,0.0,0.01,0.005,0.0,0.0,0.005,0.005,0.025,0.005,0.015,0.135,0.005,0.07,0.01,0.005,0.0,0.005,0.0,0.0,0.135,0.005,0.02,0.01,0.005,0.0,0.005,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.05,0.02,0.005,0.01,0.005,0.005,0.04,0.0,0.055,0.005,0.0,0.015,0.0,0.005,0.0,0.005,0.005,0.0
Barcelona,0.005,0.02,0.005,0.0,0.0,0.005,1.0,0.0,0.01,0.015,0.01,0.005,0.01,0.005,0.02,0.04,0.0,0.02,0.0,0.005,0.005,0.0,0.0,0.01,0.005,0.0,0.01,0.015,0.005,0.015,0.0,0.015,0.005,0.005,0.015,0.005,0.015,0.0,0.08,0.0,0.0,0.01,0.01,0.035,0.01,0.015,0.0,0.005,0.01,0.0,0.02,0.005,0.025,0.0,0.005,0.06,0.005,0.015,0.01,0.01,0.005,0.0,0.0,0.005,0.01,0.005,0.015,0.0,0.04,0.0,0.0,0.005,0.005,0.005,0.01
Beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.05,0.0,0.0,0.005,0.0,0.2,0.005,0.0,0.0,0.0,0.0,0.0,0.0
Berlin,0.005,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.015,0.015,0.025,0.005,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.045,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.005,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.005,0.005,0.03,0.0,0.07,0.0,0.0,0.005,0.02,0.025,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.03,0.005,0.005,0.0,0.015,0.0,0.0,0.035,0.03,0.005,0.01
Bogota,0.005,0.01,0.005,0.0,0.0,0.005,0.015,0.0,0.0,1.0,0.005,0.0,0.005,0.005,0.0,0.015,0.0,0.01,0.005,0.005,0.0,0.025,0.0,0.0,0.005,0.0,0.005,0.005,0.0,0.02,0.005,0.015,0.015,0.105,0.005,0.005,0.005,0.0,0.025,0.0,0.01,0.035,0.005,0.01,0.01,0.005,0.0,0.0,0.015,0.0,0.015,0.005,0.005,0.0,0.005,0.005,0.005,0.02,0.01,0.005,0.01,0.0,0.0,0.01,0.0,0.0,0.005,0.0,0.005,0.005,0.0,0.0,0.005,0.01,0.005
